Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA20,SMA50,EMA20,signal,signal_change
2025-09-19 00:00:00+05:30,974.9000244140625,976.7000122070312,962.0999755859375,966.9000244140625,31243267,0.0,0.0,964.8850006103515,984.2209948730468,969.9701812059345,-1,0.0
2025-09-22 00:00:00+05:30,964.0,971.2000122070312,961.9500122070312,964.2000122070312,10854415,0.0,0.0,963.9800018310547,983.4927966308594,969.4206413012771,-1,0.0
2025-09-23 00:00:00+05:30,967.0,968.2000122070312,955.5,957.2000122070312,21022298,0.0,0.0,962.7375030517578,982.8490393066406,968.2567718637298,-1,0.0
2025-09-24 00:00:00+05:30,952.2000122070312,956.4500122070312,943.0,951.0499877929688,15117220,0.0,0.0,961.6200012207031,982.0892639160156,966.6180305236574,-1,0.0
2025-09-25 00:00:00+05:30,952.5,958.0,947.4000244140625,949.8499755859375,31413279,0.0,0.0,961.2225006103515,981.1807983398437,965.0210729105412,-1,0.0
2025-09-26 00:00:00+05:30,945.0999755859375,951.4500122070312,941.2999877929688,945.0499877929688,14874656,0.0,0.0,960.8950012207031,980.1683532714844,963.1190648041057,-1,0.0
2025-09-29 00:00:00+05:30,946.0499877929688,956.7999877929688,939.0999755859375,950.2999877929688,32398179,0.0,0.0,960.8800018310546,979.3546752929688,961.8982003268546,-1,0.0
2025-09-30 00:00:00+05:30,958.0499877929688,960.0,946.2999877929688,951.0,28296687,0.0,0.0,961.2050018310547,978.8492651367187,960.8602764862018,-1,0.0
2025-10-01 00:00:00+05:30,952.7000122070312,969.5999755859375,946.0,965.25,25350832,0.0,0.0,961.7450012207031,978.1989245605469,961.2783453922779,-1,0.0
2025-10-03 00:00:00+05:30,952.0,966.75,952.0,965.1500244140625,26658296,0.0,0.0,961.9400024414062,977.4807482910156,961.6470767276859,-1,0.0
2025-10-06 00:00:00+05:30,971.9000244140625,977.4000244140625,962.0,973.4500122070312,18542683,0.0,0.0,962.4425018310546,976.7569982910156,962.7711658209569,-1,0.0
2025-10-07 00:00:00+05:30,974.0,989.8499755859375,971.0,982.5,25535736,0.0,0.0,963.2675018310547,976.3149987792968,964.6501024094372,0,1.0
2025-10-08 00:00:00+05:30,976.0,985.9000244140625,974.5499877929688,978.7000122070312,15939710,0.0,0.0,963.9450012207031,975.8429992675781,965.9881890568271,0,0.0
2025-10-09 00:00:00+05:30,974.5,979.0,970.1500244140625,977.0999755859375,15370950,0.0,0.0,964.5049987792969,975.2999987792969,967.0464544405519,0,0.0
2025-10-10 00:00:00+05:30,979.0,986.2000122070312,978.0999755859375,980.9000244140625,13757080,0.0,0.0,965.1600006103515,974.7019995117188,968.3658420570767,0,0.0
2025-10-13 00:00:00+05:30,974.2999877929688,981.0,972.0,977.0,18634254,0.0,0.0,965.6450012207031,973.9839990234375,969.1881428135456,0,0.0
